Segments,Product,Stage
Channeling,AKL,1
Channeling,AKL,2
Channeling,AKL,3
Channeling,APL,1
Channeling,APL,2
Channeling,APL,3
Channeling,EAL,1
Channeling,EAL,2
Channeling,EAL,3
Channeling,RCL,1
Channeling,RCL,2
Channeling,RCL,3
Channeling,KPL,1
Channeling,KPL,2
Channeling,KPL,3
DDL,EML,1
DDL,EML,2
DDL,EML,3
DDL,PYL,1
DDL,PYL,2
DDL,PYL,3
DDL,SME,1
DDL,SME,2
DDL,SME,3
DDL,SCF,1
DDL,SCF,2
DDL,SCF,3
DDL,UDL,1
DDL,UDL,2
DDL,UDL,3
